"","DATE","OBSERVER","ID","BOX","BTO","COMBINATION","RFID.GEN","RFID","CODE","EXACT","SEX","AGE","WING","TARSUS","WEIGHT","HEADBILL","BILL","BP","BLED.CORT","BLED.SEX","FEATHER","PARTNER.ID","MOTHER.ID","FATHER.ID","TIME","COMPANIONS","RFID.WORKS","RFID.CHANGED","AGGR","BITES","WRIG","TONIC","ATTEMPT","MOULT","LOCATION","NOTES","year","known_age","min_age"
"80",2013-06-07,"GM","J87","Y18","EY40927","BMSV",NA,"010C10ED71","RINGED",1,"M","1","117","40.6",105.3,"","","",0,0,0,"","J245","","30-12-1899 17:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","",2013,1,11
"81",2013-06-07,"GM","J106","Y18","EY40928","BMBZO",NA,"010C11AD0C","RINGED",1,"M","1","136","40.6",158.7,"","","",0,0,0,"","J245","","30-12-1899 17:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","",2013,1,11
"82",2013-06-07,"GM","J126","Y18","EY40929","BMGZW",NA,"010C109CDD","RINGED",1,"F","1","132","40.6",133.2,"","","",0,0,0,"","J245","","30-12-1899 17:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","",2013,1,11
"83",2013-06-07,"GM","J95","X25","EY40956","BZMBZW",NA,"010C10C5D3","RINGED",1,"M","1","130","39.8",176,"","","",0,0,0,"","","J293","30-12-1899 18:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"CAMPUS","",2013,1,11
"84",2013-05-10,"GM","J218","","EY40872","GMGZO",NA,"","RINGED",1,"F","6","232","44.2",236,"","","Y",0,1,1,"J289","","","30-12-1899 16:20:00","1",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Early nester - well developed brood patch",2013,0,13
"85",2013-05-10,"GM","J219","","EY40873","GMGY",NA,"","RINGED",1,"M","6","242","44.6",252,"","","N",0,1,1,"","","","30-12-1899 16:20:00","1",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"86",2013-07-17,"GM","J491","","EY40695","WMGZW",NA,"010C11A441","RINGED",1,"M","6","","42.1",215.5,"","","N",0,1,0,"","","","30-12-1899 09:00:00","J491",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Wing tips broken off. Tail in main moult.",2013,0,13
"87",2013-07-17,"GM","J492","","EY40696","BMRZB",NA,"010C11991B","RINGED",1,"","3J","228","44.3",195.7,"","","N",0,1,1,"","","","30-12-1899 09:15:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Blood sample may not be from this bird.",2013,1,11
"88",2013-07-17,"GM","J493","","EY40697","BZMSB",NA,"010C115CB9","RINGED",1,"","3J","226","43.2",203.5,"","","N",0,1,1,"","","","30-12-1899 09:35:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Blood sample may not be from this bird.",2013,1,11
"89",2013-07-17,"GM","J494","","EY40698","BZMBB",NA,"010C11A25B","RINGED",1,"M","3J","234","41.7",216.6,"","","N",0,1,1,"","","","30-12-1899 09:45:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Blood sample may not be from this bird.",2013,1,11
"90",2013-07-17,"GM","J495","","EY40699","BZMBW",NA,"010C115106","RINGED",1,"M","3J","234","45.3",223.3,"","","N",0,1,1,"","","","30-12-1899 10:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Blood sample may not be from this bird.",2013,1,11
"91",2013-07-17,"GM","J496","","EY40700","BZMGG",NA,"010C11BB9F","RINGED",1,"","3J","242","45.1",212.5,"","","N",0,1,1,"","","","30-12-1899 10:15:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Blood sample may not be from this bird.",2013,1,11
"92",2013-07-17,"GM","J497","","EY40701","BZMGB",NA,"010C110DBF","RINGED",1,"","3J","230","44.3",218.6,"","","N",0,1,1,"","","","30-12-1899 10:20:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Blood sample may not be from this bird.",2013,1,11
