"","box","date","phase","site","eggs","chicks","eggDev","chickDev","mean_chick_weight","interpolled","mean_weightDev"
"208","Z06","2022-04-17","Incubation","Z",4,0,2.21428571428571,0,NA,NA,NA
"209","Z20","2022-04-17","Pre-Lay","Z",0,0,-1.78571428571429,0,NA,NA,NA
"210","X25","2022-04-17","Incubation","X",4,0,2.47058823529412,0,NA,NA,NA
"211","Y01","2022-04-17","Incubation","Y",3,0,1.4,0,NA,NA,NA
"212","Y18","2022-04-17","Incubation","Y",1,0,-0.6,0,NA,NA,NA
"213","Y09","2022-04-17","Incubation","Y",2,0,0.4,0,NA,NA,NA
"214","Y07","2022-04-17","Incubation","Y",2,0,0.4,0,NA,NA,NA
"215","Y29","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"216","Y10","2022-04-17","Incubation","Y",5,0,3.4,0,NA,NA,NA
"217","X32","2022-04-17","Pre-Lay","X",0,0,-1.52941176470588,0,NA,NA,NA
"218","Y28","2022-04-17","Incubation","Y",3,0,1.4,0,NA,NA,NA
"219","Y02","2022-04-17","Incubation","Y",1,0,-0.6,0,NA,NA,NA
"220","Y03","2022-04-17","Incubation","Y",1,0,-0.6,0,NA,NA,NA
"221","Y21","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"222","X40","2022-04-17",NA,"X",0,0,-1.52941176470588,0,NA,NA,NA
"223","Z28","2022-04-17","Pre-Lay","Z",0,0,-1.78571428571429,0,NA,NA,NA
"224","Y17","2022-04-17","Incubation","Y",4,0,2.4,0,NA,NA,NA
"225","Y05","2022-04-17","Incubation","Y",3,0,1.4,0,NA,NA,NA
"226","Y20","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"227","Y22","2022-04-17","Incubation","Y",1,0,-0.6,0,NA,NA,NA
"228","Z19","2022-04-17","Incubation","Z",1,0,-0.785714285714286,0,NA,NA,NA
"229","X23","2022-04-17","Pre-Lay","X",0,0,-1.52941176470588,0,NA,NA,NA
"230","Y16","2022-04-17","Incubation","Y",3,0,1.4,0,NA,NA,NA
"231","Z11","2022-04-17","Incubation","Z",3,0,1.21428571428571,0,NA,NA,NA
"232","Y08","2022-04-17","Incubation","Y",5,0,3.4,0,NA,NA,NA
"233","Z07","2022-04-17","Incubation","Z",2,0,0.214285714285714,0,NA,NA,NA
"234","Z27","2022-04-17","Incubation","Z",1,0,-0.785714285714286,0,NA,NA,NA
"235","X36","2022-04-17","Incubation","X",1,0,-0.529411764705882,0,NA,NA,NA
"236","X38","2022-04-17","Incubation","X",5,0,3.47058823529412,0,NA,NA,NA
"237","X39","2022-04-17","Pre-Lay","X",0,0,-1.52941176470588,0,NA,NA,NA
"238","Y26","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"239","Y11","2022-04-17","Incubation","Y",5,0,3.4,0,NA,NA,NA
"240","Y12","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"241","Y30","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"242","Y31","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"243","Y23","2022-04-17","Incubation","Y",3,0,1.4,0,NA,NA,NA
"244","Z32","2022-04-17","Pre-Lay","Z",0,0,-1.78571428571429,0,NA,NA,NA
