"","site","date","phase"
"562","X",2023-06-11,"Fledge"
"563","X",2023-06-12,"Fledge"
"564","X",2023-06-13,"Fledge"
"565","X",2023-06-14,"Fledge"
"566","X",2023-06-15,"Fledge"
"567","X",2023-06-16,"Fledge"
"568","X",2023-06-17,"Fledge"
"569","X",2023-06-18,"Fledge"
"570","X",2023-06-19,"Fledge"
"571","X",2023-06-20,"Fledge"
"572","X",2023-06-21,"Fledge"
"573","X",2023-06-22,"Fledge"
"574","X",2023-06-23,"Fledge"
"575","X",2023-06-24,"Fledge"
"576","X",2023-06-25,"Fledge"
"577","X",2023-06-26,"Fledge"
"578","X",2023-06-27,"Fledge"
"579","X",2023-06-28,"Fledge"
"580","X",2023-06-29,"Fledge"
"581","X",2023-06-30,"Fledge"
"582","X",2023-07-01,"Fledge"
"583","X",2023-07-02,"Fledge"
"584","X",2023-07-03,"Fledge"
"585","X",2023-07-04,"Fledge"
"586","Y",2022-03-29,"Pre-Lay"
"587","Y",2022-03-30,"Pre-Lay"
"588","Y",2022-03-31,"Pre-Lay"
"589","Y",2022-04-01,"Pre-Lay"
"590","Y",2022-04-02,"Pre-Lay"
"591","Y",2022-04-03,"Pre-Lay"
"592","Y",2022-04-04,"Pre-Lay"
"593","Y",2022-04-05,"Pre-Lay"
"594","Y",2022-04-06,"Pre-Lay"
"595","Y",2022-04-07,"Pre-Lay"
"596","Y",2022-04-08,"Pre-Lay"
"597","Y",2022-04-09,"Pre-Lay"
"598","Y",2022-04-10,"Pre-Lay"
"599","Y",2022-04-11,"Pre-Lay"
"600","Y",2022-04-12,"Pre-Lay"
"601","Y",2022-04-13,"Pre-Lay"
"602","Y",2022-04-14,"Pre-Lay"
"603","Y",2022-04-15,"Pre-Lay"
"604","Y",2022-04-16,"Pre-Lay"
"605","Y",2022-04-17,"Incubation"
"606","Y",2022-04-18,"Incubation"
"607","Y",2022-04-19,"Incubation"
"608","Y",2022-04-20,"Incubation"
"609","Y",2022-04-21,"Incubation"
"610","Y",2022-04-22,"Incubation"
"611","Y",2022-04-23,"Incubation"
"612","Y",2022-04-24,"Incubation"
"613","Y",2022-04-25,"Incubation"
"614","Y",2022-04-26,"Incubation"
"615","Y",2022-04-27,"Incubation"
"616","Y",2022-04-28,"Incubation"
"617","Y",2022-04-29,"Incubation"
"618","Y",2022-04-30,"Incubation"
"619","Y",2022-05-01,"Incubation"
"620","Y",2022-05-02,"Incubation"
"621","Y",2022-05-03,"Incubation"
"622","Y",2022-05-04,"Incubation"
"623","Y",2022-05-05,"Provisioning"
"624","Y",2022-05-06,"Provisioning"
"625","Y",2022-05-07,"Provisioning"
"626","Y",2022-05-08,"Provisioning"
"627","Y",2022-05-09,"Provisioning"
"628","Y",2022-05-10,"Provisioning"
"629","Y",2022-05-11,"Provisioning"
"630","Y",2022-05-12,"Provisioning"
"631","Y",2022-05-13,"Provisioning"
"632","Y",2022-05-14,"Provisioning"
"633","Y",2022-05-15,"Provisioning"
"634","Y",2022-05-16,"Provisioning"
"635","Y",2022-05-17,"Provisioning"
"636","Y",2022-05-18,"Provisioning"
"637","Y",2022-05-19,"Provisioning"
"638","Y",2022-05-20,"Provisioning"
"639","Y",2022-05-21,"Provisioning"
"640","Y",2022-05-22,"Provisioning"
"641","Y",2022-05-23,"Provisioning"
"642","Y",2022-05-24,"Provisioning"
"643","Y",2022-05-25,"Provisioning"
"644","Y",2022-05-26,"Provisioning"
"645","Y",2022-05-27,"Provisioning"
"646","Y",2022-05-28,"Provisioning"
"647","Y",2022-05-29,"Provisioning"
"648","Y",2022-05-30,"Provisioning"
"649","Y",2022-05-31,"Provisioning"
"650","Y",2022-06-01,"Provisioning"
"651","Y",2022-06-02,"Provisioning"
"652","Y",2022-06-03,"Provisioning"
"653","Y",2022-06-04,"Provisioning"
"654","Y",2022-06-05,"Provisioning"
"655","Y",2022-06-06,"Provisioning"
"656","Y",2022-06-07,"Provisioning"
"657","Y",2022-06-08,"Provisioning"
"658","Y",2022-06-09,"Provisioning"
"659","Y",2022-06-10,"Provisioning"
"660","Y",2022-06-11,"Fledge"
"661","Y",2022-06-12,"Fledge"
"662","Y",2022-06-13,"Fledge"
